English		Tiếng Việt
As	như
Everybody	mọi người
Exception	ngoại lệ
Excessive	quá đáng
Explosion	vụ nổ
Exclusion	loại trừ 
Fee	phí
Fox	con cáo
Fun	thú vị
Fly	bay
From	từ
Four	số bốn
Find	tìm
Face	mặt
Food	thức ăn
Free	miễn phí
Fact	trường hợp, thực tế
Fish	con cá
First	thứ nhất, đầu tiên
Found	tìm ra
Field	cách đồng
Force	lưc lượng 
Front	trước mặt
Focus	tiêu điểm
Floor	sàn nhà
Fight	đánh nhau
Fixed	cố định
Future	tương lai
Family	gia đình
Father	bố
Friend	bạn
Further	thêm nữa
Forward	hiển nhiên, ở đằng trước
Foreign	ngoại quốc
Finance	tài chính
Feature	đặc tính
Federal	liên bang
Finding phát hiện
Feeling	cảm giác
Function	chức năng
Facility	cơ sở
Friendly	thân thiện
Familiar	quen biết
Firewall	tường lửa
Forecast	dự báo
Floating	nổi, nổi trên mặt nước
Feedback	phản hồi
Festival	lễ hội
Fraction	phân số
Financial	tài chính
Following	theo dõi
Framework	khuôn khổ
Furniture	đồ đạc
Frequency	tần số
Formation	sự hình thành
Forgotten	bị lãng quên
Franchise	chuỗi
Fortunate	may mắn
Freelance	nghề tự do
Good	tốt
Give	tặng, đưa
Game	trò chơi
Goal	mục tiêu, bàn thắng
Gain	thu được
Grow	lớn lên
Gold	vàng
Girl	cô gái
Gene	gia hệ
Grid	lưới
Gray	màu xám
Gate	cổng
Group	nhóm
Great	tuyệt
Green	màu xanh
Glass	cốc thủy tinh
Grown	tăng
Grade	cấp
Grape	nho
Growth	sự phát triển
Global	toàn cầu
Ground 	đất
Golden	vàng
Garden	vườn
Guilty	tội lỗi
Gender	giới tính
Gather	tụ họp
Gentle	dịu dàng
Genius	thiên tài
General chung
Greater	lớn hơn
Gallery	bộ sưu tập
Genuine	chính hãng
Genetic	di truyền 
Gravity trọng lực
Graphic đồ họa
Gateway	cổng vào
Goodbye	tạm biệt 
Garment quần áo
Guidance	hướng dẫn
Generate	tạo ra
Graphics	đồ họa
Governor	thống đốc
Grateful	tri ân
Guardian	người giám hộ
Generous	hào phóng
Goodwill	thiện chí 
Genomics	bộ gen
Goodness	nhân hậu
Greeting	lời chào
Grouping	phân nhóm
Geometry	hình học
Generally	nói chung là
Guarantee	bảo hành
Gathering	thu nhập
Geography	môn địa lý
Gentleman	quý ông, quý phái
Generator	máy phát điện
Gratitude	lòng biết ơn
Geometric	hình học
Glamorous	hào nhoáng
Goldsmith	thợ kim hoàn
Guerrilla	du kích
